epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0497,2.39781,4.33464,2.17024,0.00285,0.71742,0.14849,0.04385,2.29703,4.48029,2.02752,0.00015554,0.00015554,0.00015554
2,72.7766,2.29032,3.91981,2.08011,0.00274,0.72955,0.11128,0.02923,2.34104,4.44077,2.07684,0.000315811,0.000315811,0.000315811
3,103.339,2.15073,3.48953,1.98152,0.00253,0.63106,0.11967,0.05263,2.3674,4.32982,2.18982,0.000469482,0.000469482,0.000469482
4,133.77,2.19505,3.27991,1.9273,0.68261,0.06667,0.20402,0.08758,2.36388,4.55464,2.29643,0.000616554,0.000616554,0.000616554
5,164.254,2.0852,3.12226,1.8406,0.32908,0.0915,0.10347,0.03885,2.31665,4.40159,2.26766,0.000757027,0.000757027,0.000757027
6,194.119,2.17355,3.36817,1.87492,0.09199,0.20486,0.09125,0.03416,2.50153,4.04169,2.32351,0.0008909,0.0008909,0.0008909
7,224.264,2.20874,3.33547,1.98023,0.64794,0.13333,0.05813,0.01781,2.6161,6.50739,2.84882,0.000979013,0.000979013,0.000979013
8,254.992,2.08758,2.98722,1.86048,0.41752,0.16667,0.02425,0.00663,2.64874,8.50445,3.01127,0.000957015,0.000957015,0.000957015
9,285.679,2.13804,2.91644,1.94081,0.10392,0.22121,0.14253,0.02856,2.38797,4.76295,2.66877,0.000935018,0.000935018,0.000935018
10,315.783,2.06688,2.82549,1.86582,0.14692,0.2697,0.10655,0.02156,2.52501,4.4193,2.51892,0.00091302,0.00091302,0.00091302
11,345.62,2.10352,2.90363,1.86876,0.55756,0.15546,0.15532,0.03962,2.6596,4.89315,2.47211,0.000891022,0.000891022,0.000891022
12,375.957,2.12563,2.65008,1.88951,0.12439,0.23106,0.14386,0.03767,2.75838,4.26253,2.51469,0.000869024,0.000869024,0.000869024
13,406.361,2.12746,2.83865,1.77763,0.20538,0.47017,0.29319,0.07657,2.48909,3.22303,2.18629,0.000847026,0.000847026,0.000847026
14,436.431,2.07677,2.585,1.77845,0.14898,0.19,0.12839,0.03046,2.57495,3.67836,2.40532,0.000825029,0.000825029,0.000825029
15,466.602,2.03498,2.48829,1.80637,0.14949,0.14318,0.16053,0.04653,2.61046,3.53338,2.38611,0.000803031,0.000803031,0.000803031
16,502.37,2.11201,2.52615,1.89564,0.18763,0.32803,0.21867,0.05498,2.54033,3.42059,2.30868,0.000781033,0.000781033,0.000781033
17,542.797,2.00965,2.26731,1.77397,0.26275,0.39167,0.44367,0.15123,2.50046,3.43939,2.21859,0.000759035,0.000759035,0.000759035
18,977.136,2.01412,2.18633,1.72561,0.26354,0.44137,0.31643,0.13408,2.33305,3.01886,2.11599,0.000737037,0.000737037,0.000737037
19,1007.39,1.97042,2.38021,1.66712,0.36396,0.45154,0.41996,0.1557,2.30776,3.0144,2.09178,0.00071504,0.00071504,0.00071504
20,1037,1.97882,2.14402,1.70378,0.18267,0.3447,0.18379,0.07752,2.33995,3.17241,2.23964,0.000693042,0.000693042,0.000693042
21,1066.51,2.00747,2.13726,1.69997,0.18217,0.42652,0.19334,0.07216,2.44779,3.13487,2.28664,0.000671044,0.000671044,0.000671044
22,1096.04,1.94952,2.25657,1.74291,0.32632,0.56575,0.40904,0.1305,2.38055,2.91415,2.21766,0.000649046,0.000649046,0.000649046
23,1126.02,1.99672,2.32269,1.73842,0.19701,0.42652,0.38752,0.19409,2.39319,2.94842,2.13034,0.000627048,0.000627048,0.000627048
24,1155.76,1.92734,1.98433,1.63789,0.22736,0.31288,0.26297,0.10321,2.54333,3.33328,2.3724,0.000605051,0.000605051,0.000605051
25,1186.42,1.95158,2.0232,1.67846,0.30939,0.59924,0.39071,0.14107,2.63502,2.8474,2.39327,0.000583053,0.000583053,0.000583053
26,1216.74,1.90851,2.04575,1.69656,0.27996,0.47446,0.31775,0.08098,2.66932,2.71184,2.36144,0.000561055,0.000561055,0.000561055
27,1246.84,1.91405,1.87395,1.65493,0.28441,0.28485,0.335,0.12202,2.52826,2.7645,2.33088,0.000539057,0.000539057,0.000539057
28,1276.36,1.79366,1.81987,1.58427,0.22277,0.33733,0.29821,0.13205,2.53245,2.98134,2.46003,0.000517059,0.000517059,0.000517059
29,1305.8,1.82665,1.81194,1.62399,0.26889,0.23158,0.19591,0.05603,2.7331,3.26918,2.58488,0.000495062,0.000495062,0.000495062
30,1335.27,1.86663,1.9325,1.65059,0.25604,0.47484,0.32548,0.10129,2.44841,2.82851,2.2105,0.000473064,0.000473064,0.000473064
31,1365.11,1.67766,1.75485,1.53023,0.28937,0.35985,0.24754,0.09592,2.38334,2.77482,2.17434,0.000451066,0.000451066,0.000451066
32,1394.62,1.76141,1.70968,1.58068,0.28023,0.4447,0.42544,0.14382,2.439,2.76059,2.27056,0.000429068,0.000429068,0.000429068
33,1423.88,1.76433,1.6702,1.56841,0.25938,0.38788,0.29093,0.09816,2.5509,2.89252,2.38131,0.00040707,0.00040707,0.00040707
34,1453.44,1.76731,1.67572,1.58241,0.53253,0.30567,0.34517,0.09994,2.44381,2.85493,2.20319,0.000385073,0.000385073,0.000385073
35,1483.11,1.72,1.67504,1.56558,0.31438,0.41096,0.31506,0.11327,2.39728,2.68262,2.1769,0.000363075,0.000363075,0.000363075
36,1515.49,1.61551,1.64193,1.49437,0.33919,0.39933,0.3162,0.1021,2.43115,2.53779,2.18832,0.000341077,0.000341077,0.000341077
37,1545.63,1.6062,1.58058,1.50615,0.34104,0.40985,0.40148,0.10366,2.5397,2.54204,2.29297,0.000319079,0.000319079,0.000319079
38,1577.32,1.72037,1.63757,1.53441,0.30198,0.39167,0.35782,0.10727,2.51599,2.68127,2.31889,0.000297081,0.000297081,0.000297081
39,1607.25,1.58902,1.50938,1.45202,0.37912,0.45152,0.40343,0.1254,2.51915,2.6853,2.399,0.000275084,0.000275084,0.000275084
40,1636.48,1.65416,1.59052,1.5215,0.47361,0.42652,0.37367,0.12998,2.50375,2.63812,2.34701,0.000253086,0.000253086,0.000253086
41,1666.08,1.62749,1.6782,1.55956,0.4316,0.49308,0.49444,0.14171,2.51075,2.60278,2.38363,0.000231088,0.000231088,0.000231088
42,1695.11,1.47755,1.6582,1.43579,0.44481,0.43262,0.45634,0.11338,2.47532,2.69093,2.26399,0.00020909,0.00020909,0.00020909
43,1724.3,1.57512,1.57676,1.53243,0.41765,0.42652,0.44795,0.10828,2.49031,2.71139,2.31602,0.000187092,0.000187092,0.000187092
44,1753.43,1.63111,1.62285,1.56765,0.28076,0.53106,0.38961,0.10279,2.55567,2.63313,2.33967,0.000165095,0.000165095,0.000165095
45,1781.93,1.49096,1.42449,1.44884,0.63208,0.32396,0.39185,0.09949,2.58576,2.6763,2.39064,0.000143097,0.000143097,0.000143097
46,1810.67,1.54362,1.47819,1.49962,0.30471,0.42537,0.36016,0.09596,2.61309,2.66234,2.43326,0.000121099,0.000121099,0.000121099
47,1839.03,1.49599,1.50846,1.47297,0.24319,0.33867,0.31677,0.10039,2.61058,2.65719,2.44444,9.91012e-05,9.91012e-05,9.91012e-05
48,1868.29,1.38813,1.46995,1.43104,0.68876,0.31819,0.38402,0.10723,2.58722,2.61581,2.41825,7.71034e-05,7.71034e-05,7.71034e-05
49,1897.5,1.43194,1.37171,1.4416,0.7165,0.29126,0.3989,0.10915,2.58266,2.59943,2.3816,5.51056e-05,5.51056e-05,5.51056e-05
50,1926.38,1.39821,1.30012,1.39317,0.72274,0.29248,0.40637,0.1215,2.58022,2.58163,2.37447,3.31078e-05,3.31078e-05,3.31078e-05
